question,correct_answer,possible_answers,type
Who is the mother of Queen Victoria?,Princess Victoria of Saxe-Coburg-Saalfeld,"[""Princess Victoria of Saxe-Coburg-Saalfeld"", ""Victoria of Saxe-Coburg-Saalfeld"", ""Victoria, Duchess of Kent"", ""Marie Luise Viktoria"", ""Marie Louise Victoire"", ""Marie Luise Viktoria of Saxe-Coburg-Saalfeld"", ""Princess Marie Luise Viktoria of Saxe-Coburg-Saalfeld"", ""Victoria, Princess of Leinengen"", ""Princess Victoria, Duchess of Kent and Strathearn""]",mother
In what country is Australian Labor Party?,Australia,"[""Australia"", ""Commonwealth of Australia"", ""AU"", ""AUS"", ""British Colony of Australia"", ""🇦🇺"", ""Straya"", ""Aussieland""]",country
Who was the producer of Tim?,Michael Pate,"[""Michael Pate"", ""Edward John Pate""]",producer
In what country is Archon?,France,"[""France"", ""fr"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",country
Who was the producer of Airport?,Anubhav Sinha,"[""Anubhav Sinha"", ""Anupam Sinha""]",producer
Who was the screenwriter for Uzak?,Nuri Bilge Ceylan,"[""Nuri Bilge Ceylan""]",screenwriter
Who is the author of The Wild Duck?,Henrik Ibsen,"[""Henrik Ibsen"", ""Henrik Johan Ibsen"", ""Henrich Johan Ibsen"", ""Henrich Ibsen""]",author
Who was the director of Barbara?,Christian Petzold,"[""Christian Petzold""]",director
Who is the author of The Task?,William Cowper,"[""William Cowper""]",author
Who was the screenwriter for The Deal?,Peter Morgan,"[""Peter Morgan"", ""Peter Julian Robin Morgan""]",screenwriter
Who was the producer of 10 Years?,Armin van Buuren,"[""Armin van Buuren"", ""AvB"", ""Armin Jozef Jacobus Daniël van Buuren"", ""Amsterdance"", ""Perpetuous Dreamer"", ""Problem Boy"", ""Rising Star"", ""The Shoeshine Factory""]",producer
Who was the director of Alone?,Parkpoom Wongpoom,"[""Parkpoom Wongpoom"", ""Banjong Pisanthanakun"", ""Bangjong Pisanthanakun""]",director
In what country is Morales de Campos?,Spain,"[""Spain"", ""España"", ""Kingdom of Spain"", ""ES"", ""ESP""]",country
Who was the director of The Well?,Russell Rouse,"[""Russell Rouse""]",director
Who was the composer of Cabaret?,John Kander,"[""John Kander"", ""John Harold Kander""]",composer
Who was the producer of Adopted?,Pauly Shore,"[""Pauly Shore"", ""Paul Montgomery Shore""]",producer
What genre is One Thing?,pop rock,"[""pop rock"", ""pop/rock"", ""pop-rock""]",genre
What is Ecbatana the capital of?,Achaemenid Empire,"[""Achaemenid Empire"", ""First Persian Empire"", ""Persian Empire"", ""Persia"", ""Achaemenid Persian Empire"", ""Persian Achaemenid Empire"", ""Achaemenid Persia"", ""Medes"", ""Median Empire"", ""Median Kingdom"", ""Median civilization""]",capital of
What genre is Foundation?,non-fiction,"[""non-fiction"", ""nonfiction"", ""non fiction""]",genre
What genre is Many Moons?,fantasy,"[""fantasy"", ""fantasy fiction"", ""picture book"", ""children's picture book""]",genre
Who is the father of Emperor Saga?,Emperor Kammu,"[""Emperor Kammu"", ""Kanmu"", ""Emperor Kanmu"", ""Kanmu-tennō"", ""Kammu-tennō"", ""Kammu"", ""Kammu Tennō"", ""Kanmu Tennō""]",father
What is the capital of Basel-Stadt?,Basel,"[""Basel"", ""Basle"", ""Basel BS"", ""Bâle""]",capital
Who was the producer of Seed?,Uwe Boll,"[""Uwe Boll""]",producer
Who was the director of As You Like It?,Kenneth Branagh,"[""Kenneth Branagh"", ""Sir Kenneth Charles \""Ken\"" Branagh"", ""Sir Kenneth Branagh"", ""Sir Kenneth Charles Branagh""]",director
Who was the composer of Annie?,Charles Strouse,"[""Charles Strouse""]",composer
What is the capital of Netherlands?,The Hague,"[""The Hague"", ""Den Haag"", ""'s-Gravenhage"", ""Haag"", ""Amsterdam"", ""Mokum"", ""Amsterdam, NL"", ""Amsterdam, Netherlands"", ""A'dam""]",capital
Who was the composer of Rock You Like a Hurricane?,Rudolf Schenker,"[""Rudolf Schenker""]",composer
What genre is Happy When It Rains?,alternative rock,"[""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock""]",genre
What is Naval the capital of?,Biliran,"[""Biliran"", ""Province of Biliran""]",capital of
Who was the director of Nightmare?,Freddie Francis,"[""Freddie Francis"", ""Frederick William Francis""]",director
In what city was Neil Robinson born?,Walton,"[""Walton"", ""Walton-on-the-Hill"", ""Walton, Liverpool""]",place of birth
In what country is Hotel Africa?,Liberia,"[""Liberia"", ""Republic of Liberia"", ""lr"", ""🇱🇷"", ""LBR""]",country
Who was the director of The Incident?,Alex and Martin,"[""Alex and Martin"", ""Martin Fougerol""]",director
Who was the director of Too Late?,Lucian Pintilie,"[""Lucian Pintilie""]",director
What is Kam the capital of?,Kam,"[""Kam"", ""0""]",capital of
What genre is Will to Power?,dance-pop,"[""dance-pop"", ""dance pop""]",genre
Who was the composer of Mr. Magorium's Wonder Emporium?,Aaron Zigman,"[""Aaron Zigman"", ""Alexandre Desplat"", ""Alexandre Michel Gérard Desplat""]",composer
In what city was Steve McDonald born?,Birmingham,"[""Birmingham"", ""Birmingham, England"", ""Birmingham, West Midlands""]",place of birth
Who is the author of Saturday?,Ian McEwan,"[""Ian McEwan"", ""Ian Russell McEwan""]",author
Who is the author of Economics?,Paul Samuelson,"[""Paul Samuelson"", ""Paul Anthony Samuelson"", ""Paul A. Samuelson"", ""William Nordhaus"", ""William Dawbney Nordhaus"", ""William D. Nordhaus"", ""W. D. Nordhaus"", ""W D Nordhaus"", ""W. Nordhaus"", ""W Nordhaus"", ""William D Nordhaus""]",author
Who was the director of It's Not Just You?,Martin Scorsese,"[""Martin Scorsese"", ""Martin Skorseze"", ""Martin Charles Scorsese""]",director
What is the capital of Yukon?,Whitehorse,"[""Whitehorse"", ""Whitehorse, Yukon""]",capital
What is the religion of Iman?,Islam,"[""Islam"", ""Islamic religion"", ""Mohammedanism"", ""Muslim religion"", ""al-’islām"", ""religion of the Muslims""]",religion
In what country is New Politics Initiative?,Canada,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA"", ""Can.""]",country
What genre is Seven Veils?,ambient music,"[""ambient music"", ""ambient""]",genre
In what country is Kanaküla?,Estonia,"[""Estonia"", ""Republic of Estonia"", ""Estland"", ""Eesti"", ""ee"", ""EST"", ""🇪🇪""]",country
Who was the director of Lady Frankenstein?,Mel Welles,"[""Mel Welles""]",director
Who was the composer of King?,Dhina,"[""Dhina""]",composer
Who was the composer of Introduction and Allegro?,Maurice Ravel,"[""Maurice Ravel"", ""Joseph-Maurice Ravel"", ""Maurice Joseph Ravel"", ""Joseph Maurice Ravel""]",composer
Who was the producer of Our Love?,Dan Snaith,"[""Dan Snaith"", ""Caribou"", ""Daphni"", ""Manitoba"", ""Daniel Snaith"", ""Daniel Victor Snaith""]",producer
What is Olav T. Laake's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
Who was the screenwriter for The Island?,Peter Benchley,"[""Peter Benchley"", ""Peter Bradford Benchley""]",screenwriter
What genre is At Sunset?,pop rock,"[""pop rock"", ""pop/rock"", ""pop-rock""]",genre
What is the capital of Corrientes?,Corrientes,"[""Corrientes"", ""National Capital of Chamamé"", ""National Capital of Carnival"", ""City of Murals""]",capital
What genre is Happy Christmas?,comedy-drama,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]",genre
Who was the screenwriter for Uncle Joe Shannon?,Burt Young,"[""Burt Young"", ""Jerry De Louise"", ""Richard Morea"", ""Gerald \""Jerry\"" Tommaso DeLouise""]",screenwriter
Who was the director of L'Homme du large?,Marcel L'Herbier,"[""Marcel L'Herbier"", ""Marcel L' Herbier""]",director
What genre is Emmeline?,Gothic fiction,"[""Gothic fiction"", ""Gothic novel"", ""Gothic literature""]",genre
What genre is La Patrona?,telenovela,"[""telenovela"", ""Spanish soap opera""]",genre
Who was the screenwriter for Action?,Tinto Brass,"[""Tinto Brass""]",screenwriter
Who was the composer of From Beyond?,Richard Band,"[""Richard Band"", ""Richard Howard Band""]",composer
What genre is The Relic?,action film,"[""action film"", ""action movie"", ""film action"", ""movie action"", ""action"", ""horror film"", ""horror movie"", ""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]",genre
Who was the director of The Stranger?,Orson Welles,"[""Orson Welles"", ""George Orson Welles""]",director
What genre is In Silence?,rock music,"[""rock music"", ""rock and roll"", ""rock""]",genre
What is Klaus Rainer Röhl's occupation?,journalist,"[""journalist"", ""journo"", ""journalists""]",occupation
Who was the screenwriter for Wisdom?,Emilio Estévez,"[""Emilio Estévez""]",screenwriter
What is the religion of Joseph MacRory?,Catholic Church,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]",religion
Who was the screenwriter for Tears?,Im Sang-soo,"[""Im Sang-soo""]",screenwriter
Who was the director of After Hours?,Martin Scorsese,"[""Martin Scorsese"", ""Martin Skorseze"", ""Martin Charles Scorsese""]",director
Who is the author of Anything Goes?,Howard Lindsay,"[""Howard Lindsay"", ""Herman Nelke"", ""Russel Crouse"", ""P. G. Wodehouse"", ""Pelham Grenville Wodehouse"", ""Sir Pelham Grenville Wodehouse"", ""P.G. Wodehouse"", ""Guy Bolton"", ""H. B. Trevelyan"", ""Guy Reginald Bolton""]",author
What is the religion of University of Portland?,Catholic Church,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]",religion
In what city was Alton Montgomery born?,Griffin,"[""Griffin"", ""Griffin, Georgia""]",place of birth
What is the capital of South Australia?,Adelaide,"[""Adelaide"", ""Greater Adelaide""]",capital
Who is the father of Yang Wo?,Yang Xingmi,"[""Yang Xingmi""]",father
Who was the screenwriter for Thor?,Mark Protosevich,"[""Mark Protosevich"", ""Mark David Protosevich"", ""Ashley Miller"", ""Ashley Edward Miller"", ""Zack Stentz""]",screenwriter
Who is the author of The Man of the Crowd?,Edgar Allan Poe,"[""Edgar Allan Poe"", ""Poe"", ""Edgar Poe"", ""E. A. Poe""]",author
Who was the producer of In America?,Jim Sheridan,"[""Jim Sheridan""]",producer
What genre is Gold?,science fiction film,"[""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]",genre
What sport does Njurunda SK play?,ice hockey,"[""ice hockey""]",sport
Who was the producer of Albert Schweitzer?,Jerome Hill,"[""Jerome Hill"", ""James Jerome Hill"", ""Jérôme Hill"", ""James Jerome Hill II""]",producer
Who was the director of The Moor?,Simon Cellan Jones,"[""Simon Cellan Jones"", ""Simon Cellan-Jones""]",director
What genre is Shaft?,action film,"[""action film"", ""action movie"", ""film action"", ""movie action"", ""action"", ""blaxploitation"", ""blacksploitation""]",genre
Who was the screenwriter for The Package?,Graham Roland,"[""Graham Roland"", ""Paul Zbyszewski""]",screenwriter
What sport does history of Melbourne Knights FC play?,association football,"[""association football"", ""football"", ""soccer""]",sport
Who is the father of Philip III of Macedon?,Philip II of Macedon,"[""Philip II of Macedon"", ""King of Macedonia Filippo II"", ""King of Macedonia Philippos II"", ""King of Macedonia Philip II"", ""King of Macedonia Filip II"", ""King of Macedonia Philippus II"", ""Philip of Macedon""]",father
Who was the screenwriter for Champion?,Rabi Kinagi,"[""Rabi Kinagi"", ""Ravi Kinagi"", ""Rabi Kinnagi""]",screenwriter
What genre is Inside?,horror film,"[""horror film"", ""horror movie""]",genre
Who is the author of The Storms of Chai?,Joe Dever,"[""Joe Dever"", ""Joseph Robert Dever""]",author
In what city was Jeanne de Casalis born?,Basutoland,"[""Basutoland""]",place of birth
Who was the director of The Doors?,Oliver Stone,"[""Oliver Stone"", ""William Oliver Stone""]",director
Who was the screenwriter for Please Give?,Nicole Holofcener,"[""Nicole Holofcener""]",screenwriter
Who was the composer of Minnale?,Harris Jayaraj,"[""Harris Jayaraj""]",composer
Who was the screenwriter for Death of a Batman?,Roger Marshall,"[""Roger Marshall""]",screenwriter
Who is the author of Ponies?,Kij Johnson,"[""Kij Johnson""]",author
Who is the author of Perfect?,Ellen Hopkins,"[""Ellen Hopkins"", ""Ellen Louise Hopkins""]",author
What genre is Love Songs?,musical film,"[""musical film"", ""musical movie""]",genre
Who was the screenwriter for The Criminal Code?,Martin Flavin,"[""Martin Flavin"", ""Martin Archer Flavin""]",screenwriter
In what country is Füzérradvány?,Hungary,"[""Hungary"", ""hu"", ""🇭🇺"", ""HUN""]",country
Who is the author of Hard Time?,Mary Skrenes,"[""Mary Skrenes""]",author
Who was the producer of Queen Kelly?,Gloria Swanson,"[""Gloria Swanson"", ""Gloria May Josephine Svensson"", ""Gloria Josephine May Swanson""]",producer
What is Robert Gwilym's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
Who was the composer of I Miss You?,Miley Cyrus,"[""Miley Cyrus"", ""Destiny Hope Cyrus"", ""Miley Ray Cyrus"", ""Miley Hemsworth"", ""Ashley O"", ""Hannah Montana"", ""Smiley Miley"", ""Miley Ray Hemsworth"", ""Miley R. Cyrus"", ""Miley R. Hemsworth"", ""Miley Cyrus Love""]",composer
Who was the screenwriter for Over the Top?,Stirling Silliphant,"[""Stirling Silliphant"", ""Stirling Dale Silliphant"", ""Sylvester Stallone"", ""Sly Stallone"", ""Sylvester Enzio Stallone"", ""Michael Sylvester Gardenzio Stallone""]",screenwriter
What is Tsu the capital of?,Tsu Domain,"[""Tsu Domain"", ""Anotsu Domain"", ""Mie Prefecture"", ""Mie""]",capital of
Who was the producer of Imagine?,Armin van Buuren,"[""Armin van Buuren"", ""AvB"", ""Armin Jozef Jacobus Daniël van Buuren"", ""Amsterdance"", ""Perpetuous Dreamer"", ""Problem Boy"", ""Rising Star"", ""The Shoeshine Factory""]",producer
What genre is Soul of the Samurai?,action-adventure game,"[""action-adventure game"", ""a-avg"", ""action adventure video games""]",genre
In what country is Idalou?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
What is Jean-Baptiste de Lamarck's occupation?,biologist,"[""biologist"", ""biologists""]",occupation
Who was the screenwriter for Regeneration?,Pat Barker,"[""Pat Barker""]",screenwriter
In what country is Masset Inlet?,Canada,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA"", ""Can.""]",country
In what country is New Home?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
Who was the composer of I'm That Chick?,Mariah Carey,"[""Mariah Carey"", ""MC"", ""Mirage"", ""Mimi"", ""Elusive Chanteuse"", ""Songbird Supreme"", ""Carey""]",composer
Who was the director of The Spoilers?,Lambert Hillyer,"[""Lambert Hillyer"", ""Lambert Harwood Hillyer""]",director
Who was the screenwriter for Urban Feel?,Jonathan Sagall,"[""Jonathan Sagall""]",screenwriter
In what country is Uñón District?,Peru,"[""Peru"", ""pe"", ""Republic of Peru"", ""República del Perú"", ""🇵🇪"", ""Republica del Peru""]",country
Who was the director of Changes?,Charles Jarrott,"[""Charles Jarrott""]",director
In what country is Stari Ras?,Serbia,"[""Serbia"", ""🇷🇸"", ""Republic of Serbia"", ""Republika Srbija"", ""rs"", ""Srbija"", ""SRB""]",country
What is the religion of Shenandoah University?,United Methodist Church,"[""United Methodist Church"", ""UMC""]",religion
What genre is Speak?,synth-pop,"[""synth-pop"", ""synthesizer pop"", ""techno-pop"", ""synthpop""]",genre
Who was the director of Stuff?,Johnny Depp,"[""Johnny Depp"", ""John Christopher \""Johnny\"" Depp II"", ""John Christopher Depp II"", ""John Christopher Depp""]",director
Who was the director of Sway?,Miwa Nishikawa,"[""Miwa Nishikawa""]",director
Who is the author of The Tales of Ensign Stål?,Johan Ludvig Runeberg,"[""Johan Ludvig Runeberg"", ""J. L. Runeberg""]",author
What is Phoenix the capital of?,Arizona,"[""Arizona"", ""AZ"", ""The Grand Canyon State"", ""State of Arizona"", ""Grand Canyon State"", ""Ariz."", ""US-AZ""]",capital of
What is the religion of Grand Duchy of Finland?,Evangelical Lutheran Church of Finland,"[""Evangelical Lutheran Church of Finland"", ""Lutheran Church of Finland"", ""Church of Finland"", ""Finnish Orthodox Church"", ""Orthodox Church of Finland""]",religion
Who was the producer of Numbers?,Tony Scott,"[""Tony Scott"", ""Anthony David Scott"", ""Anthony David Leighton Scott"", ""Ridley Scott"", ""Sir Ridley Scott""]",producer
In what city was Alfredo Ramos Martínez born?,Monterrey,"[""Monterrey"", ""Monterrey, Nuevo Leon"", ""Monterrey, Mexico"", ""La sultana del norte"", ""La ciudad de las montañas""]",place of birth
