question,correct_answer,possible_answers,type
What is Michael Radford's occupation?,film director,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter""]",occupation
What is Henry Campbell-Bannerman's occupation?,diplomat,"[""diplomat"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Robert Voisey's occupation?,composer,"[""composer""]",occupation
What is Richard Vaughan's occupation?,bishop,"[""bishop""]",occupation
What is Brian Eno's occupation?,record producer,"[""record producer"", ""music producer"", ""composer""]",occupation
What is Ernst Theodor Echtermeyer's occupation?,philosopher,"[""philosopher""]",occupation
What is Felicia Chateloin's occupation?,architect,"[""architect""]",occupation
What is Debra Weeks's occupation?,journalist,"[""journalist"", ""journo"", ""journalists"", ""television producer"", ""TV producer"", ""producer"", ""Series Producer"", ""Producer (television)"", ""Television executive producer""]",occupation
What is Bedřich Feigl's occupation?,graphic designer,"[""graphic designer""]",occupation
What is Richard Marles's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Burna Boy's occupation?,songwriter,"[""songwriter"", ""song writer""]",occupation
What is Michael Costa's occupation?,composer,"[""composer""]",occupation
What is Edward F. Cox's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Sven Alkalaj's occupation?,diplomat,"[""diplomat""]",occupation
What is Glenn Gould's occupation?,composer,"[""composer"", ""pianist""]",occupation
What is Alex Reid's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Isabelle Adriani's occupation?,journalist,"[""journalist"", ""journo"", ""journalists"", ""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Edward Gunasekara's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is David M. Westcott's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Carl Linnaeus's occupation?,physician,"[""physician"", ""physicians"", ""medical doctor"", ""medical practitioner"", ""doctor"", ""medical doctors""]",occupation
What is Firaq Gorakhpuri's occupation?,poet,"[""poet"", ""poetess"", ""bard""]",occupation
What is Gordie Gosse's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Nenad Popović's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Björn Böhning's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Frederick Berry's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Susan Soltero's occupation?,journalist,"[""journalist"", ""journo"", ""journalists""]",occupation
What is Joseph R. Perella's occupation?,financier,"[""financier""]",occupation
What is Stanley Peiris's occupation?,composer,"[""composer""]",occupation
What is P. Palaniappan's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Alice's occupation?,pianist,"[""pianist"", ""singer-songwriter"", ""singer songwriter"", ""singer/songwriter"", ""singersongwriter""]",occupation
What is J. Da Silva's occupation?,cricket umpire,"[""cricket umpire"", ""umpire""]",occupation
What is Carsten Carlsen's occupation?,composer,"[""composer"", ""pianist""]",occupation
What is Josh Mankiewicz's occupation?,journalist,"[""journalist"", ""journo"", ""journalists""]",occupation
What is Shiva Nageswara Rao's occupation?,film director,"[""film director"", ""movie director"", ""director"", ""motion picture director""]",occupation
What is Abdirizak Haji Hussein's occupation?,diplomat,"[""diplomat"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Fritz Goos's occupation?,astronomer,"[""astronomer"", ""physicist""]",occupation
"What is Charles A. Gillespie, Jr.'s occupation?",diplomat,"[""diplomat""]",occupation
What is Tharman Shanmugaratnam's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Alexander Gadolin's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Levi P. Powers's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Kamya Panjabi's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Robert Gwilym's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Min's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is John Strange's occupation?,diplomat,"[""diplomat""]",occupation
What is Everley Gregg's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Ruby Rose's occupation?,disc jockey,"[""disc jockey"", ""DJ"", ""dee jay"", ""D.J."", ""disk jockey"", ""dee-jay"", ""deejay"", ""disquaire"", ""discaire"", ""actor"", ""actress"", ""actors"", ""actresses"", ""television presenter"", ""host"", ""hostess"", ""TV host"", ""television host"", ""TV presenter"", ""TV anchor"", ""television anchor""]",occupation
What is Meg McCall's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Walter de la Pole's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Todd Verow's occupation?,cinematographer,"[""cinematographer"", ""director of photography"", ""DOP"", ""film director"", ""movie director"", ""director"", ""motion picture director"", ""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Kyaw Swe's occupation?,film director,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Guillaume du Tillot's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is James J. Gibson's occupation?,psychologist,"[""psychologist"", ""psychologists""]",occupation
What is Edwin H. Knopf's occupation?,film director,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter"", ""film producer"", ""movie producer"", ""producer""]",occupation
What is Apurba Kishore Bir's occupation?,cinematographer,"[""cinematographer"", ""director of photography"", ""DOP"", ""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter""]",occupation
What is Prince Radu of Romania's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Tatiana Doronina's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Havergal Brian's occupation?,composer,"[""composer""]",occupation
What is Marina Baker's occupation?,Playboy Playmate,"[""Playboy Playmate"", ""Playmate""]",occupation
What is Naathan Phan's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Paul Caillaud's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Rusty Willoughby's occupation?,songwriter,"[""songwriter"", ""song writer""]",occupation
What is Matthew Underwood's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is George Washington Owen's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Ebenezer Webster's occupation?,farmer,"[""farmer"", ""agriculturist"", ""grower"", ""raiser"", ""cultivator"", ""agriculturer"", ""farmer (occupation)"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Bridie O'Flaherty's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is John Jay's occupation?,diplomat,"[""diplomat""]",occupation
What is Ivan Kulichenko's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Christopher Beazley's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Christine Juarbe's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",occupation
What is Olivier Alary's occupation?,composer,"[""composer""]",occupation
What is Giuseppe Demachi's occupation?,composer,"[""composer""]",occupation
What is Affonso Beato's occupation?,cinematographer,"[""cinematographer"", ""director of photography"", ""DOP""]",occupation
What is Scott Z. Burns's occupation?,screenwriter,"[""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter""]",occupation
What is Vanessa Angel's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Atsushi Kaneko's occupation?,mangaka,"[""mangaka"", ""manga artist""]",occupation
What is William Molyneux's occupation?,astronomer,"[""astronomer"", ""philosopher"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Richard Faith's occupation?,composer,"[""composer"", ""pianist""]",occupation
What is E. David Redwine's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Kyriakos Mavronikolas's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
"What is John Blake, Jr.'s occupation?",politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Amitabh Bachchan's occupation?,film producer,"[""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Mami Matsui's occupation?,seiyū,"[""seiyū"", ""Japanese voice actress"", ""seiyuu"", ""seiyu"", ""Japanese voice actor""]",occupation
What is Marie-France Mignal's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Chiara Zanni's occupation?,voice actor,"[""voice actor"", ""voice artist"", ""voice actress"", ""voice-over performer"", ""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is P. J. Moloney's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Andreas Rüdiger's occupation?,philosopher,"[""philosopher""]",occupation
What is Robert Lewis's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Arthur W. Rice's occupation?,architect,"[""architect""]",occupation
What is Richard Franck's occupation?,composer,"[""composer"", ""pianist""]",occupation
What is Guillem Ramon de Gironella's occupation?,troubadour,"[""troubadour""]",occupation
What is Dima Grigoriev's occupation?,mathematician,"[""mathematician""]",occupation
What is Grace Frankland's occupation?,microbiologist,"[""microbiologist""]",occupation
What is Hermann Ahlwardt's occupation?,journalist,"[""journalist"", ""journo"", ""journalists""]",occupation
What is Alexandre Bóveda's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Paddy Mullins's occupation?,horse trainer,"[""horse trainer"", ""racehorse trainer""]",occupation
What is Alan Mauritz Swanson's occupation?,composer,"[""composer""]",occupation
What is Harvey William Burk's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Richard Sandrak's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Amin Amidu Sulemana's occupation?,diplomat,"[""diplomat"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
